department;municipality;postal_code;neighbourhood
Managua;Managua;14166;Sector Suroeste Camino De Oriente
Managua;Managua;14167;Sector Radio Nicaragua
Managua;Managua;14168;Sector La Salle
Managua;Managua;14169;Condominio Roma
Managua;Managua;14171;Casa Fontana
Managua;Managua;14172;Sector Unan Managua
Managua;Managua;14173;Villa Fontana Norte
Managua;Managua;14174;Villa Fontana Sur
Managua;Managua;14175;Las Veraneras
Managua;Managua;14176;Sector Comarca Jocote Dulce
Managua;Managua;14177;Sector Colegio Centroamérica
Managua;Managua;14178;Bosques Del Recreo
Managua;Managua;14179;Sector Sur Club Terraza
Managua;Managua;14181;Bosques Del Terraza
Managua;Managua;14182;Las Cumbres
Managua;Managua;14183;Mirador Las Cumbres
Managua;Managua;14184;Altos De Las Cumbres
Managua;Managua;14185;Portal Del Carmen
Managua;Managua;14186;La Rioja
Managua;Managua;14187;Sector Sur Pista Jean Paul Genie
Managua;Managua;14188;Santa Mónica Cruz Del Paraíso
Managua;Managua;14189;Sector Norte Cruz Del Paraíso
Managua;Managua;14191;Sector Sur Rotonda Jean Paul Genie
